persona_idno,documento_idno,rol_evento
mx-sv-per-008206,mx-sv-doc-002975,Vendedor
mx-sv-per-008284,mx-sv-doc-002975,comprador
mx-sv-per-000508,mx-sv-doc-000130,otorgante
mx-sv-per-000509,mx-sv-doc-000130,comprador
mx-sv-per-000512,mx-sv-doc-000131,otorgante
mx-sv-per-000513,mx-sv-doc-000131,comprador
mx-sv-per-005703,mx-sv-doc-002333,Vendedor
mx-sv-per-005704,mx-sv-doc-002333,comprador
mx-sv-per-005705,mx-sv-doc-002333,Antiguo Propietario
mx-sv-per-005707,mx-sv-doc-002333,Testigo
mx-sv-per-008286,mx-sv-doc-002976,Vendedor
mx-sv-per-008287,mx-sv-doc-002976,intermediario
mx-sv-per-008288,mx-sv-doc-002976,comprador
mx-sv-per-000515,mx-sv-doc-000132,otorgante
mx-sv-per-000516,mx-sv-doc-000132,intermediario
mx-sv-per-000517,mx-sv-doc-000132,comprador
mx-sv-per-000520,mx-sv-doc-000133,otorgante
mx-sv-per-000521,mx-sv-doc-000133,comprador
mx-sv-per-007732,mx-sv-doc-002796,otorgante
mx-sv-per-007733,mx-sv-doc-002796,otorgante
mx-sv-per-007734,mx-sv-doc-002796,Testador
mx-sv-per-007734,mx-sv-doc-002796,dueño anterior
mx-sv-per-000523,mx-sv-doc-000134,otorgante
mx-sv-per-000524,mx-sv-doc-000134,comprador
mx-sv-per-000526,mx-sv-doc-000135,otorgante
mx-sv-per-000527,mx-sv-doc-000135,comprador
mx-sv-per-000529,mx-sv-doc-000136,otorgante
mx-sv-per-000530,mx-sv-doc-000136,intermediario
mx-sv-per-000531,mx-sv-doc-000136,comprador
mx-sv-per-000533,mx-sv-doc-000137,otorgante
mx-sv-per-000534,mx-sv-doc-000137,comprador
mx-sv-per-000537,mx-sv-doc-000138,otorgante
mx-sv-per-000538,mx-sv-doc-000138,comprador
mx-sv-per-000540,mx-sv-doc-000139,otorgante
mx-sv-per-000541,mx-sv-doc-000139,comprador
mx-sv-per-003783,mx-sv-doc-002977,Vendedor
mx-sv-per-003540,mx-sv-doc-002977,comprador
mx-sv-per-000543,mx-sv-doc-000140,otorgante
mx-sv-per-000544,mx-sv-doc-000140,comprador
mx-sv-per-000546,mx-sv-doc-000141,otorgante
mx-sv-per-000547,mx-sv-doc-000141,comprador
mx-sv-per-000549,mx-sv-doc-000142,otorgante
mx-sv-per-000550,mx-sv-doc-000142,comprador
mx-sv-per-000552,mx-sv-doc-000143,otorgante
mx-sv-per-000553,mx-sv-doc-000143,comprador
mx-sv-per-000555,mx-sv-doc-000144,otorgante
mx-sv-per-000556,mx-sv-doc-000144,comprador
mx-sv-per-000558,mx-sv-doc-000145,otorgante
mx-sv-per-000559,mx-sv-doc-000145,comprador
mx-sv-per-000169,mx-sv-doc-000146,otorgante
mx-sv-per-000561,mx-sv-doc-000146,comprador
mx-sv-per-000563,mx-sv-doc-000147,otorgante
mx-sv-per-000564,mx-sv-doc-000147,comprador
mx-sv-per-000566,mx-sv-doc-000148,otorgante
mx-sv-per-000567,mx-sv-doc-000148,comprador
mx-sv-per-007099,mx-sv-doc-002978,Vendedor
mx-sv-per-008291,mx-sv-doc-002978,comprador
mx-sv-per-000569,mx-sv-doc-000149,otorgante
mx-sv-per-000570,mx-sv-doc-000149,comprador
mx-sv-per-000572,mx-sv-doc-000150,otorgante
mx-sv-per-000573,mx-sv-doc-000150,comprador
mx-sv-per-000570,mx-sv-doc-000151,otorgante
mx-sv-per-000575,mx-sv-doc-000151,comprador
mx-sv-per-000576,mx-sv-doc-000151,comprador
mx-sv-per-000578,mx-sv-doc-000152,otorgante
mx-sv-per-000579,mx-sv-doc-000152,comprador
mx-sv-per-000581,mx-sv-doc-000153,otorgante
mx-sv-per-000582,mx-sv-doc-000153,comprador
mx-sv-per-000584,mx-sv-doc-000154,otorgante
mx-sv-per-000585,mx-sv-doc-000154,comprador
mx-sv-per-000587,mx-sv-doc-000155,otorgante
mx-sv-per-000567,mx-sv-doc-000155,comprador
mx-sv-per-000589,mx-sv-doc-000156,otorgante
mx-sv-per-000590,mx-sv-doc-000156,intermediario
mx-sv-per-000591,mx-sv-doc-000156,comprador
mx-sv-per-000593,mx-sv-doc-000157,otorgante
mx-sv-per-000594,mx-sv-doc-000157,comprador
mx-sv-per-000596,mx-sv-doc-000158,otorgante
mx-sv-per-000597,mx-sv-doc-000158,comprador
mx-sv-per-008299,mx-sv-doc-002979,Vendedor
mx-sv-per-008300,mx-sv-doc-002979,comprador
mx-sv-per-008301,mx-sv-doc-002979,comprador
mx-sv-per-008302,mx-sv-doc-002979,Escribano
mx-sv-per-000599,mx-sv-doc-000159,otorgante
mx-sv-per-000594,mx-sv-doc-000159,comprador
mx-sv-per-000601,mx-sv-doc-000160,otorgante
mx-sv-per-000602,mx-sv-doc-000160,comprador
mx-sv-per-000606,mx-sv-doc-000161,otorgante
mx-sv-per-000607,mx-sv-doc-000161,comprador
mx-sv-per-000608,mx-sv-doc-000161,dueño anterior
mx-sv-per-000610,mx-sv-doc-000162,otorgante
mx-sv-per-000611,mx-sv-doc-000162,comprador
mx-sv-per-000612,mx-sv-doc-000162,dueño anterior
mx-sv-per-000112,mx-sv-doc-000163,otorgante
mx-sv-per-000618,mx-sv-doc-000163,dueño del esclavizado
mx-sv-per-000619,mx-sv-doc-000163,dueño del esclavizado
mx-sv-per-000620,mx-sv-doc-000163,dueño anterior
mx-sv-per-000621,mx-sv-doc-000163,dueño anterior
mx-sv-per-000623,mx-sv-doc-000164,otorgante
mx-sv-per-000623,mx-sv-doc-000164,Receptor Del Poder
mx-sv-per-000624,mx-sv-doc-000164,dueño anterior
mx-sv-per-000045,mx-sv-doc-000164,dueño anterior
mx-sv-per-000627,mx-sv-doc-000165,otorgante
mx-sv-per-000628,mx-sv-doc-000165,comprador
mx-sv-per-000629,mx-sv-doc-000165,dueño anterior
mx-sv-per-008300,mx-sv-doc-002980,comprador
mx-sv-per-003330,mx-sv-doc-002980,Propietario
mx-sv-per-000631,mx-sv-doc-000166,Otorgante Del Poder
mx-sv-per-000632,mx-sv-doc-000166,Receptor Del Poder
mx-sv-per-000635,mx-sv-doc-000167,otorgante
mx-sv-per-000636,mx-sv-doc-000167,comprador
mx-sv-per-000637,mx-sv-doc-000167,dueño anterior
mx-sv-per-000639,mx-sv-doc-000168,otorgante
mx-sv-per-000636,mx-sv-doc-000168,comprador
mx-sv-per-000640,mx-sv-doc-000168,dueño anterior
mx-sv-per-000024,mx-sv-doc-000169,comprador
mx-sv-per-000642,mx-sv-doc-000169,dueño anterior
mx-sv-per-000644,mx-sv-doc-000170,otorgante
mx-sv-per-000644,mx-sv-doc-000170,Receptor Del Poder
mx-sv-per-000645,mx-sv-doc-000170,comprador
mx-sv-per-000646,mx-sv-doc-000170,dueño del esclavizado
mx-sv-per-000648,mx-sv-doc-000171,otorgante
mx-sv-per-000636,mx-sv-doc-000171,comprador
mx-sv-per-000649,mx-sv-doc-000171,Receptor Del Poder
mx-sv-per-000039,mx-sv-doc-000171,dueño anterior
mx-sv-per-000651,mx-sv-doc-000172,otorgante
mx-sv-per-000652,mx-sv-doc-000172,comprador
mx-sv-per-000653,mx-sv-doc-000172,dueño anterior
mx-sv-per-000655,mx-sv-doc-000173,otorgante
mx-sv-per-000636,mx-sv-doc-000173,comprador
mx-sv-per-000045,mx-sv-doc-000173,dueño anterior
mx-sv-per-000657,mx-sv-doc-000174,otorgante
mx-sv-per-000636,mx-sv-doc-000174,comprador
mx-sv-per-000658,mx-sv-doc-000174,dueño anterior
mx-sv-per-000659,mx-sv-doc-000174,dueño anterior
mx-sv-per-006406,mx-sv-doc-002464,Otorgante Del Poder
mx-sv-per-006407,mx-sv-doc-002464,Apoderado
mx-sv-per-006407,mx-sv-doc-002464,Vendedor
mx-sv-per-006408,mx-sv-doc-002464,intermediario
mx-sv-per-006409,mx-sv-doc-002464,Testigo
mx-sv-per-006410,mx-sv-doc-002464,Testigo
mx-sv-per-006411,mx-sv-doc-002464,Testigo
mx-sv-per-008480,mx-sv-doc-003278,Vendedor
mx-sv-per-008535,mx-sv-doc-003278,comprador
mx-sv-per-000661,mx-sv-doc-000175,otorgante
mx-sv-per-000662,mx-sv-doc-000175,otorgante
mx-sv-per-000636,mx-sv-doc-000175,comprador
mx-sv-per-000039,mx-sv-doc-000175,dueño anterior
mx-sv-per-000664,mx-sv-doc-000176,otorgante
mx-sv-per-000623,mx-sv-doc-000176,comprador
